timestamp_utc,container_pid,memory_current_bytes,memory_peak_bytes,memory_swap_current_bytes,process_vmrss_bytes,unavailable_reason
2026-09-24T23:53:41Z,3041315,891236352,948228096,0,953978880,
2026-09-24T23:53:43Z,3041315,891011072,948228096,0,953978880,
2026-09-24T23:53:45Z,3041315,891011072,948228096,0,953978880,
2026-09-24T23:53:48Z,3041315,890753024,948228096,0,953978880,
2026-09-24T23:53:50Z,3041315,890757120,948228096,0,953978880,
2026-09-24T23:53:52Z,3041315,890765312,948228096,0,953987072,
2026-09-24T23:53:54Z,3041315,890761216,948228096,0,953982976,
2026-09-24T23:53:56Z,3041315,891817984,948228096,0,954036224,
2026-09-24T23:53:58Z,3041315,891535360,948228096,0,954032128,
2026-09-24T23:54:01Z,3041315,891334656,948228096,0,954028032,
2026-09-24T23:54:03Z,3041315,891076608,948228096,0,954028032,
2026-09-24T23:54:05Z,3041315,891613184,948228096,0,954335232,
2026-09-24T23:54:07Z,3041315,891367424,948228096,0,954335232,
2026-09-24T23:54:09Z,3041315,891600896,948228096,0,954331136,
2026-09-24T23:54:11Z,3041315,891121664,948228096,0,954331136,
2026-09-24T23:54:14Z,3041315,891084800,948228096,0,954322944,
2026-09-24T23:54:16Z,3041315,891121664,948228096,0,954327040,
2026-09-24T23:54:18Z,3041315,891379712,948228096,0,954322944,
2026-09-24T23:54:20Z,3041315,891125760,948228096,0,954331136,
2026-09-24T23:54:22Z,3041315,891121664,948228096,0,954327040,
2026-09-24T23:54:25Z,3041315,891355136,948228096,0,954531840,
2026-09-24T23:54:27Z,3041315,891326464,948228096,0,954531840,
2026-09-24T23:54:29Z,3041315,891600896,948228096,0,954552320,
2026-09-24T23:54:31Z,3041315,891863040,948228096,0,954552320,
2026-09-24T23:54:33Z,3041315,891310080,948228096,0,954540032,
2026-09-24T23:54:35Z,3041315,891572224,948228096,0,954544128,
2026-09-24T23:54:38Z,3041315,891346944,948228096,0,954544128,
2026-09-24T23:54:40Z,3041315,891338752,948228096,0,954540032,
2026-09-24T23:54:42Z,3041315,891310080,948228096,0,954540032,
2026-09-24T23:54:44Z,3041315,891310080,948228096,0,954540032,
2026-09-24T23:54:46Z,3041315,891310080,948228096,0,954540032,
2026-09-24T23:54:48Z,3041315,891572224,948228096,0,954540032,
2026-09-24T23:54:51Z,3041315,891346944,948228096,0,954540032,
2026-09-24T23:54:53Z,3041315,891346944,948228096,0,954540032,
2026-09-24T23:54:55Z,3041315,891346944,948228096,0,954540032,
2026-09-24T23:54:57Z,3041315,891318272,948228096,0,954540032,
2026-09-24T23:54:59Z,3041315,891318272,948228096,0,954540032,
2026-09-24T23:55:02Z,3041315,891318272,948228096,0,954540032,
2026-09-24T23:55:04Z,3041315,891580416,948228096,0,954540032,
2026-09-24T23:55:06Z,3041315,891580416,948228096,0,954540032,
2026-09-24T23:55:08Z,3041315,891613184,948228096,0,954544128,
2026-09-24T23:55:10Z,3041315,891359232,948228096,0,954544128,
2026-09-24T23:55:12Z,3041315,891322368,948228096,0,954540032,
2026-09-24T23:55:15Z,3041315,891842560,948228096,0,954544128,
2026-09-24T23:55:17Z,3041315,891842560,948228096,0,954544128,
2026-09-24T23:55:19Z,3041315,891879424,948228096,0,954544128,
2026-09-24T23:55:21Z,3041315,891363328,948228096,0,954544128,
2026-09-24T23:55:23Z,3041315,891588608,948228096,0,954540032,
2026-09-24T23:55:25Z,3041315,891588608,948228096,0,954540032,
2026-09-24T23:55:28Z,3041315,891330560,948228096,0,954540032,
2026-09-24T23:55:30Z,3041315,891330560,948228096,0,954540032,
2026-09-24T23:55:32Z,3041315,891334656,948228096,0,954540032,
2026-09-24T23:55:34Z,3041315,891854848,948228096,0,954544128,
2026-09-24T23:55:36Z,3041315,891371520,948228096,0,954544128,
2026-09-24T23:55:38Z,3041315,891629568,948228096,0,954548224,
2026-09-24T23:55:41Z,3041315,891629568,948228096,0,954548224,
2026-09-24T23:55:43Z,3041315,891367424,948228096,0,954544128,
2026-09-24T23:55:45Z,3041315,891604992,948228096,0,954544128,
2026-09-24T23:55:47Z,3041315,891346944,948228096,0,954544128,
2026-09-24T23:55:50Z,3041315,891609088,948228096,0,954552320,
2026-09-24T23:55:52Z,3041315,891387904,948228096,0,954552320,
2026-09-24T23:55:54Z,3041315,891899904,948228096,0,954552320,
2026-09-24T23:55:56Z,3041315,891387904,948228096,0,954552320,
2026-09-24T23:55:58Z,3041315,891641856,948228096,0,954548224,
2026-09-24T23:56:00Z,3041315,891355136,948228096,0,954548224,
2026-09-24T23:56:02Z,3041315,892137472,948228096,0,954548224,
2026-09-24T23:56:05Z,3041315,892104704,948228096,0,954548224,
2026-09-24T23:56:07Z,3041315,891613184,948228096,0,954548224,
2026-09-24T23:56:09Z,3041315,891871232,948228096,0,954548224,
2026-09-24T23:56:11Z,3041315,891654144,948228096,0,954556416,
2026-09-24T23:56:13Z,3041315,891654144,948228096,0,954556416,
2026-09-24T23:56:16Z,3041315,891654144,948228096,0,954556416,
2026-09-24T23:56:18Z,3041315,891629568,948228096,0,954556416,
2026-09-24T23:56:20Z,3041315,891629568,948228096,0,954556416,
2026-09-24T23:56:22Z,3041315,891396096,948228096,0,954552320,
2026-09-24T23:56:24Z,3041315,891879424,948228096,0,954593280,
2026-09-24T23:56:26Z,3041315,891432960,948228096,0,954593280,
2026-09-24T23:56:29Z,3041315,891428864,948228096,0,954580992,
2026-09-24T23:56:31Z,3041315,891691008,948228096,0,954580992,
2026-09-24T23:56:33Z,3041315,894013440,948228096,0,956739584,
2026-09-24T23:56:35Z,3041315,893849600,948228096,0,956739584,
2026-09-24T23:56:37Z,3041315,893841408,948228096,0,956731392,
2026-09-24T23:56:39Z,3041315,893804544,948228096,0,956731392,
2026-09-24T23:56:42Z,3041315,893546496,948228096,0,956731392,
2026-09-24T23:56:44Z,3041315,894066688,948228096,0,956735488,
2026-09-24T23:56:46Z,3041315,893587456,948228096,0,956735488,
2026-09-24T23:56:48Z,3041315,893882368,948228096,0,956731392,
2026-09-24T23:56:50Z,3041315,893882368,948228096,0,956731392,
2026-09-24T23:56:53Z,3041315,894074880,948228096,0,956755968,
2026-09-24T23:56:55Z,3041315,893890560,948228096,0,956776448,
2026-09-24T23:56:57Z,3041315,893882368,948228096,0,956768256,
2026-09-24T23:56:59Z,3041315,894111744,948228096,0,956796928,
2026-09-24T23:57:01Z,3041315,893853696,948228096,0,956796928,
2026-09-24T23:57:03Z,3041315,893911040,948228096,0,956792832,
2026-09-24T23:57:06Z,3041315,893906944,948228096,0,956792832,
2026-09-24T23:57:08Z,3041315,893644800,948228096,0,956788736,
2026-09-24T23:57:10Z,3041315,893612032,948228096,0,956788736,
2026-09-24T23:57:12Z,3041315,893612032,948228096,0,956788736,
2026-09-24T23:57:14Z,3041315,893870080,948228096,0,956788736,
2026-09-24T23:57:16Z,3041315,893870080,948228096,0,956788736,
2026-09-24T23:57:19Z,3041315,893865984,948228096,0,956788736,
2026-09-24T23:57:21Z,3041315,893620224,948228096,0,956788736,
2026-09-24T23:57:23Z,3041315,893624320,948228096,0,956788736,
2026-09-24T23:57:25Z,3041315,893620224,948228096,0,956788736,
2026-09-24T23:57:27Z,3041315,893878272,948228096,0,956788736,
2026-09-24T23:57:30Z,3041315,893624320,948228096,0,956788736,
2026-09-24T23:57:32Z,3041315,893624320,948228096,0,956788736,
2026-09-24T23:57:34Z,3041315,893882368,948228096,0,956788736,
2026-09-24T23:57:36Z,3041315,893624320,948228096,0,956788736,
2026-09-24T23:57:38Z,3041315,893624320,948228096,0,956788736,
2026-09-24T23:57:40Z,3041315,893624320,948228096,0,956788736,
2026-09-24T23:57:43Z,3041315,893882368,948228096,0,956788736,
2026-09-24T23:57:45Z,3041315,893890560,948228096,0,956788736,
2026-09-24T23:57:47Z,3041315,893632512,948228096,0,956788736,
2026-09-24T23:57:49Z,3041315,893894656,948228096,0,956788736,
2026-09-24T23:57:51Z,3041315,894406656,948228096,0,956817408,
2026-09-24T23:57:54Z,3041315,893890560,948228096,0,956817408,
2026-09-24T23:57:56Z,3041315,893661184,948228096,0,956817408,
2026-09-24T23:57:58Z,3041315,893661184,948228096,0,956817408,
2026-09-24T23:58:00Z,3041315,893919232,948228096,0,956817408,
2026-09-24T23:58:02Z,3041315,893665280,948228096,0,956817408,
2026-09-24T23:58:04Z,3041315,894173184,948228096,0,956821504,
2026-09-24T23:58:07Z,3041315,893698048,948228096,0,956821504,
2026-09-24T23:58:09Z,3041315,893689856,948228096,0,956817408,
2026-09-24T23:58:11Z,3041315,893689856,948228096,0,956817408,
2026-09-24T23:58:13Z,3041315,893669376,948228096,0,956817408,
2026-09-24T23:58:15Z,3041315,893927424,948228096,0,956817408,
2026-09-24T23:58:17Z,3041315,893673472,948228096,0,956817408,
2026-09-24T23:58:20Z,3041315,893931520,948228096,0,956817408,
2026-09-24T23:58:22Z,3041315,893931520,948228096,0,956817408,
2026-09-24T23:58:24Z,3041315,893673472,948228096,0,956817408,
2026-09-24T23:58:26Z,3041315,893673472,948228096,0,956817408,
2026-09-24T23:58:28Z,3041315,893968384,948228096,0,956817408,
2026-09-24T23:58:30Z,3041315,893706240,948228096,0,956817408,
2026-09-24T23:58:33Z,3041315,893702144,948228096,0,956817408,
2026-09-24T23:58:35Z,3041315,893702144,948228096,0,956817408,
2026-09-24T23:58:37Z,3041315,893935616,948228096,0,956817408,
2026-09-24T23:58:39Z,3041315,893935616,948228096,0,956817408,
2026-09-24T23:58:41Z,3041315,893677568,948228096,0,956817408,
2026-09-24T23:58:44Z,3041315,893935616,948228096,0,956817408,
2026-09-24T23:58:46Z,3041315,893681664,948228096,0,956817408,
2026-09-24T23:58:48Z,3041315,893939712,948228096,0,956817408,
2026-09-24T23:58:50Z,3041315,893939712,948228096,0,956817408,
2026-09-24T23:58:52Z,3041315,893935616,948228096,0,956817408,
2026-09-24T23:58:54Z,3041315,893681664,948228096,0,956817408,
2026-09-24T23:58:57Z,3041315,893681664,948228096,0,956817408,
2026-09-24T23:58:59Z,3041315,893939712,948228096,0,956817408,
2026-09-24T23:59:01Z,3041315,893685760,948228096,0,956817408,
2026-09-24T23:59:03Z,3041315,894205952,948228096,0,956817408,
2026-09-24T23:59:05Z,3041315,893947904,948228096,0,956817408,
2026-09-24T23:59:08Z,3041315,893947904,948228096,0,956817408,
2026-09-24T23:59:10Z,3041315,893689856,948228096,0,956817408,
2026-09-24T23:59:12Z,3041315,893947904,948228096,0,956817408,
2026-09-24T23:59:14Z,3041315,893947904,948228096,0,956817408,
2026-09-24T23:59:16Z,3041315,893693952,948228096,0,956817408,
2026-09-24T23:59:19Z,3041315,893952000,948228096,0,956817408,
2026-09-24T23:59:21Z,3041315,893693952,948228096,0,956817408,
2026-09-24T23:59:23Z,3041315,893911040,948228096,0,956780544,
2026-09-24T23:59:25Z,3041315,893657088,948228096,0,956780544,
2026-09-24T23:59:27Z,3041315,893661184,948228096,0,956780544,
2026-09-24T23:59:30Z,3041315,893661184,948228096,0,956780544,
2026-09-24T23:59:32Z,3041315,893661184,948228096,0,956780544,
2026-09-24T23:59:34Z,3041315,893919232,948228096,0,956780544,
2026-09-24T23:59:36Z,3041315,893919232,948228096,0,956780544,
2026-09-24T23:59:38Z,3041315,893919232,948228096,0,956780544,
2026-09-24T23:59:41Z,3041315,893919232,948228096,0,956780544,
2026-09-24T23:59:43Z,3041315,893919232,948228096,0,956780544,
2026-09-24T23:59:45Z,3041315,893919232,948228096,0,956780544,
2026-09-24T23:59:47Z,3041315,893923328,948228096,0,956780544,
2026-09-24T23:59:49Z,3041315,893665280,948228096,0,956780544,
2026-09-24T23:59:52Z,3041315,893665280,948228096,0,956780544,
2026-09-24T23:59:54Z,3041315,893923328,948228096,0,956780544,
2026-09-24T23:59:56Z,3041315,893931520,948228096,0,956780544,
2026-09-24T23:59:58Z,3041315,893927424,948228096,0,956780544,
2026-09-25T00:00:01Z,3041315,893673472,948228096,0,956780544,
2026-09-25T00:00:03Z,3041315,893673472,948228096,0,956780544,
2026-09-25T00:00:05Z,3041315,893673472,948228096,0,956780544,
2026-09-25T00:00:08Z,3041315,893931520,948228096,0,956780544,
2026-09-25T00:00:10Z,3041315,893931520,948228096,0,956780544,
2026-09-25T00:00:12Z,3041315,893935616,948228096,0,956780544,
2026-09-25T00:00:14Z,3041315,893935616,948228096,0,956780544,
2026-09-25T00:00:16Z,3041315,411885568,948228096,0,472281088,
